"","precursor_name","updated_precursor_name"
"497","PE(P-18:0_22:5)","PE(P-18:0_22:5)"
"498","PE(P-18:0_22:6)","PE(P-18:0_22:6)"
"499","PE(P-18:1_16:0)","PE(P-18:1_16:0)"
"500","PE(P-18:1_16:1)","PE(P-18:1_16:1)"
"501","PE(P-18:1_18:0)","PE(P-18:1_18:0)"
"502","PE(P-18:1_18:1)","PE(P-18:1_18:1)"
"503","PE(P-18:1_18:2)","PE(P-18:1_18:2)"
"504","PE(P-18:1_18:3)","PE(P-18:1_18:3)"
"505","PE(P-18:1_20:1)","PE(P-18:1_20:1)"
"506","PE(P-18:1_20:2)","PE(P-18:1_20:2)"
"507","PE(P-18:1_20:3)","PE(P-18:1_20:3)"
"508","PE(P-18:1_20:4)","PE(P-18:1_20:4)"
"509","PE(P-18:1_20:5)","PE(P-18:1_20:5)"
"510","PE(P-18:1_22:4)","PE(P-18:1_22:4)"
"511","PE(P-18:1_22:5)","PE(P-18:1_22:5)"
"512","PE(P-18:1_22:6)","PE(P-18:1_22:6)"
"513","PE(P-18:2_18:2)","PE(P-18:2_18:2)"
"514","PE(P-18:2_20:4)","PE(P-18:2_20:4)"
"515","PE(P-18:2_22:6)","PE(P-18:2_22:6)"
"516","SIL_PE(15:0_18:1)_d7_SPLASH","SIL_PE(15:0_18:1)_d7"
"517","SIL_PE(18:0_18:1)_d5_Lipidyzer","SIL_PE(18:0_18:1)_d5"
"518","SIL_PE(18:0_18:2)_d5_Lipidyzer","SIL_PE(18:0_18:2)_d5"
"519","SIL_PE(18:0_18:3)_d5_Lipidyzer","SIL_PE(18:0_18:3)_d5"
"520","SIL_PE(18:0_20:3)_d5_Lipidyzer","SIL_PE(18:0_20:3)_d5"
"521","SIL_PE(18:0_20:4)_d5_Lipidyzer","SIL_PE(18:0_20:4)_d5"
"522","SIL_PE(18:0_20:5)_d5_Lipidyzer","SIL_PE(18:0_20:5)_d5"
"523","SIL_PE(18:0_22:5)_d5_Lipidyzer","SIL_PE(18:0_22:5)_d5"
"524","SIL_PE(18:0_22:6)_d5_Lipidyzer","SIL_PE(18:0_22:6)_d5"
"525","PG(14:0_14:0)","PG(14:0_14:0)"
"526","PG(14:0_18:1)","PG(14:0_18:1)"
"527","PG(14:0_18:2)","PG(14:0_18:2)"
"528","PG(14:0_18:3)","PG(14:0_18:3)"
"529","PG(14:0_20:1)","PG(14:0_20:1)"
"530","PG(14:0_20:2)","PG(14:0_20:2)"
"531","PG(14:0_20:3)","PG(14:0_20:3)"
"532","PG(14:0_20:4)","PG(14:0_20:4)"
"533","PG(14:0_20:5)","PG(14:0_20:5)"
"534","PG(14:0_22:4)","PG(14:0_22:4)"
"535","PG(14:0_22:5)","PG(14:0_22:5)"
"536","PG(14:0_22:6)","PG(14:0_22:6)"
"537","PG(14:1_14:1)","PG(14:1_14:1)"
"538","PG(16:0_14:0)","PG(16:0_14:0)"
"539","PG(16:0_16:0)","PG(16:0_16:0)"
"540","PG(16:0_16:1)","PG(16:0_16:1)"
"541","PG(16:0_18:0)","PG(16:0_18:0)"
"542","PG(16:0_18:1)","PG(16:0_18:1)"
"543","PG(16:0_18:2)","PG(16:0_18:2)"
"544","PG(16:0_18:3)","PG(16:0_18:3)"
"545","PG(16:0_20:1)","PG(16:0_20:1)"
"546","PG(16:0_20:2)","PG(16:0_20:2)"
"547","PG(16:0_20:3)","PG(16:0_20:3)"
"548","PG(16:0_20:4)","PG(16:0_20:4)"
"549","PG(16:0_20:5)","PG(16:0_20:5)"
"550","PG(16:0_22:4)","PG(16:0_22:4)"
"551","PG(16:0_22:5)","PG(16:0_22:5)"
"552","PG(16:0_22:6)","PG(16:0_22:6)"
"553","PG(18:0_14:0)","PG(18:0_14:0)"
"554","PG(18:0_16:1)","PG(18:0_16:1)"
"555","PG(18:0_18:0)","PG(18:0_18:0)"
"556","PG(18:0_18:1)","PG(18:0_18:1)"
"557","PG(18:0_18:2)","PG(18:0_18:2)"
"558","PG(18:0_18:3)","PG(18:0_18:3)"
"559","PG(18:0_20:0)","PG(18:0_20:0)"
"560","PG(18:0_20:1)","PG(18:0_20:1)"
"561","PG(18:0_20:2)","PG(18:0_20:2)"
"562","PG(18:0_20:3)","PG(18:0_20:3)"
"563","PG(18:0_20:4)","PG(18:0_20:4)"
"564","PG(18:0_20:5)","PG(18:0_20:5)"
"565","PG(18:0_22:4)","PG(18:0_22:4)"
"566","PG(18:0_22:5)","PG(18:0_22:5)"
"567","PG(18:0_22:6)","PG(18:0_22:6)"
"568","PG(18:1_16:1)","PG(18:1_16:1)"
"569","PG(18:1_18:1)","PG(18:1_18:1)"
"570","PG(18:1_18:2)","PG(18:1_18:2)"
"571","PG(18:1_18:3)","PG(18:1_18:3)"
"572","PG(18:1_20:1)","PG(18:1_20:1)"
"573","PG(18:1_20:2)","PG(18:1_20:2)"
"574","PG(18:1_20:3)","PG(18:1_20:3)"
"575","PG(18:1_20:4)","PG(18:1_20:4)"
"576","PG(18:1_20:5)","PG(18:1_20:5)"
"577","PG(18:1_22:4)","PG(18:1_22:4)"
"578","PG(18:1_22:5)","PG(18:1_22:5)"
"579","PG(18:1_22:6)","PG(18:1_22:6)"
"580","PG(18:2_16:1)","PG(18:2_16:1)"
"581","PG(18:2_18:2)","PG(18:2_18:2)"
"582","PG(18:2_18:3)","PG(18:2_18:3)"
"583","PG(18:2_20:1)","PG(18:2_20:1)"
"584","PG(18:2_20:2)","PG(18:2_20:2)"
"585","PG(18:2_20:3)","PG(18:2_20:3)"
"586","PG(18:2_20:4)","PG(18:2_20:4)"
"587","PG(18:2_20:5)","PG(18:2_20:5)"
"588","PG(18:2_22:4)","PG(18:2_22:4)"
"589","PG(18:2_22:5)","PG(18:2_22:5)"
"590","PG(18:2_22:6)","PG(18:2_22:6)"
"591","PG(20:0_16:1)","PG(20:0_16:1)"
"592","PG(20:0_18:1)","PG(20:0_18:1)"
"593","PG(20:0_18:2)","PG(20:0_18:2)"
"594","PG(20:0_18:3)","PG(20:0_18:3)"
"595","PG(20:0_20:1)","PG(20:0_20:1)"
"596","PG(20:0_20:2)","PG(20:0_20:2)"
"597","PG(20:0_20:3)","PG(20:0_20:3)"
"598","PG(20:0_20:4)","PG(20:0_20:4)"
"599","PG(20:0_20:5)","PG(20:0_20:5)"
"600","PG(20:0_22:4)","PG(20:0_22:4)"
