"","precursor_name","updated_precursor_name"
"730","PS(18:0_22:5)","PS(18:0_22:5)"
"731","PS(18:0_22:6)","PS(18:0_22:6)"
"732","PS(18:1_16:1)","PS(18:1_16:1)"
"733","PS(18:1_18:1)","PS(18:1_18:1)"
"734","PS(18:1_18:2)","PS(18:1_18:2)"
"735","PS(18:1_18:3)","PS(18:1_18:3)"
"736","PS(18:1_20:1)","PS(18:1_20:1)"
"737","PS(18:1_20:2)","PS(18:1_20:2)"
"738","PS(18:1_20:3)","PS(18:1_20:3)"
"739","PS(18:1_20:4)","PS(18:1_20:4)"
"740","PS(18:1_20:5)","PS(18:1_20:5)"
"741","PS(18:1_22:4)","PS(18:1_22:4)"
"742","PS(18:1_22:5)","PS(18:1_22:5)"
"743","PS(18:1_22:6)","PS(18:1_22:6)"
"744","PS(18:2_16:1)","PS(18:2_16:1)"
"745","PS(18:2_18:2)","PS(18:2_18:2)"
"746","PS(18:2_18:3)","PS(18:2_18:3)"
"747","PS(18:2_20:1)","PS(18:2_20:1)"
"748","PS(18:2_20:2)","PS(18:2_20:2)"
"749","PS(18:2_20:3)","PS(18:2_20:3)"
"750","PS(18:2_20:4)","PS(18:2_20:4)"
"751","PS(18:2_20:5)","PS(18:2_20:5)"
"752","PS(18:2_22:4)","PS(18:2_22:4)"
"753","PS(18:2_22:5)","PS(18:2_22:5)"
"754","PS(18:2_22:6)","PS(18:2_22:6)"
"755","PS(20:0_16:1)","PS(20:0_16:1)"
"756","PS(20:0_18:1)","PS(20:0_18:1)"
"757","PS(20:0_18:2)","PS(20:0_18:2)"
"758","PS(20:0_18:3)","PS(20:0_18:3)"
"759","PS(20:0_20:1)","PS(20:0_20:1)"
"760","PS(20:0_20:2)","PS(20:0_20:2)"
"761","PS(20:0_20:3)","PS(20:0_20:3)"
"762","PS(20:0_20:4)","PS(20:0_20:4)"
"763","PS(20:0_20:5)","PS(20:0_20:5)"
"764","PS(20:0_22:4)","PS(20:0_22:4)"
"765","PS(20:0_22:5)","PS(20:0_22:5)"
"766","PS(20:0_22:6)","PS(20:0_22:6)"
"767","SIL_17:0-14:1 PS-d5","SIL_PS(17:0_14:1)_d5"
"768","SIL_17:0-16:1 PS-d5","SIL_PS(17:0_16:1)_d5"
"769","SIL_17:0-18:1 PS-d5","SIL_PS(17:0_18:1)_d5"
"770","SIL_17:0-20:3 PS-d5","SIL_PS(17:0_20:3)_d5"
"771","SIL_17:0-22:4 PS-d5","SIL_PS(17:0_22:4)_d5"
"772","SM(14:0)","SM(d18:1/14:0)"
"773","SM(16:0)","SM(d18:1/16:0)"
"774","SM(18:0)","SM(d18:1/18:0)"
"775","SM(18:1)","SM(d18:1/18:1)"
"776","SM(20:0)","SM(d18:1/20:0)"
"777","SM(20:1)","SM(d18:1/20:1)"
"778","SM(22:0)","SM(d18:1/22:0)"
"779","SM(22:1)","SM(d18:1/22:1)"
"780","SM(24:0)","SM(d18:1/24:0)"
"781","SM(24:1)","SM(d18:1/24:1)"
"782","SM(26:0)","SM(d18:1/26:0)"
"783","SM(26:1)","SM(d18:1/26:1)"
"784","SIL_15:0 SM (d18:1/15:0)-D9","SIL_SM(d18:1/15:0)_d9"
"785","SIL_16:1 SM (d18:1/16:1)-d9","SIL_SM(d18:1/16:1)_d9"
"786","SIL_18:1 SM (d18:1/18:1)-d9","SIL_SM(d18:1/18:1)_d9"
"787","SIL_20:1 SM (d18:1/20:1)-d9","SIL_SM(d18:1/20:1)_d9"
"788","SIL_22:1 SM (d18:1/22:1)-d9","SIL_SM(d18:1/22:1)_d9"
"789","SIL_24:1 SM (d18:1/24:1)-d9","SIL_SM(d18:1/24:1)_d9"
"790","TAG(40:0_FA14:0)","TG(40:0_FA14:0)"
"791","TAG(40:0_FA16:0)","TG(40:0_FA16:0)"
"792","TAG(42:0_FA14:0)","TG(42:0_FA14:0)"
"793","TAG(42:0_FA16:0)","TG(42:0_FA16:0)"
"794","TAG(42:1_FA14:0)","TG(42:1_FA14:0)"
"795","TAG(42:1_FA16:0)","TG(42:1_FA16:0)"
"796","TAG(42:1_FA16:1)","TG(42:1_FA16:1)"
"797","TAG(42:1_FA18:1)","TG(42:1_FA18:1)"
"798","TAG(42:2_FA18:2)","TG(42:2_FA18:2)"
"799","TAG(44:0_FA14:0)","TG(44:0_FA14:0)"
"800","TAG(44:0_FA16:0)","TG(44:0_FA16:0)"
"801","TAG(44:0_FA18:0)","TG(44:0_FA18:0)"
"802","TAG(44:1_FA14:0)","TG(44:1_FA14:0)"
"803","TAG(44:1_FA16:0)","TG(44:1_FA16:0)"
"804","TAG(44:1_FA16:1)","TG(44:1_FA16:1)"
"805","TAG(44:1_FA18:1)","TG(44:1_FA18:1)"
"806","TAG(44:2_FA14:0)","TG(44:2_FA14:0)"
"807","TAG(44:2_FA16:0)","TG(44:2_FA16:0)"
"808","TAG(44:2_FA16:1)","TG(44:2_FA16:1)"
"809","TAG(44:2_FA18:1)","TG(44:2_FA18:1)"
"810","TAG(44:2_FA18:2)","TG(44:2_FA18:2)"
"811","TAG(44:3_FA18:2)","TG(44:3_FA18:2)"
"812","TAG(45:0_FA14:0)","TG(45:0_FA14:0)"
"813","TAG(45:0_FA16:0)","TG(45:0_FA16:0)"
"814","TAG(45:1_FA16:0)","TG(45:1_FA16:0)"
"815","TAG(45:1_FA18:1)","TG(45:1_FA18:1)"
"816","TAG(46:0_FA14:0)","TG(46:0_FA14:0)"
"817","TAG(46:0_FA16:0)","TG(46:0_FA16:0)"
"818","TAG(46:0_FA18:0)","TG(46:0_FA18:0)"
"819","TAG(46:1_FA14:0)","TG(46:1_FA14:0)"
"820","TAG(46:1_FA16:0)","TG(46:1_FA16:0)"
"821","TAG(46:1_FA16:1)","TG(46:1_FA16:1)"
"822","TAG(46:1_FA18:0)","TG(46:1_FA18:0)"
"823","TAG(46:1_FA18:1)","TG(46:1_FA18:1)"
"824","TAG(46:2_FA14:0)","TG(46:2_FA14:0)"
"825","TAG(46:2_FA16:0)","TG(46:2_FA16:0)"
"826","TAG(46:2_FA16:1)","TG(46:2_FA16:1)"
"827","TAG(46:2_FA18:1)","TG(46:2_FA18:1)"
"828","TAG(46:2_FA18:2)","TG(46:2_FA18:2)"
"829","TAG(46:3_FA14:0)","TG(46:3_FA14:0)"
"830","TAG(46:3_FA16:0)","TG(46:3_FA16:0)"
"831","TAG(46:3_FA16:1)","TG(46:3_FA16:1)"
"832","TAG(46:3_FA18:1)","TG(46:3_FA18:1)"
"833","TAG(46:3_FA18:2)","TG(46:3_FA18:2)"
"834","TAG(46:3_FA18:3)","TG(46:3_FA18:3)"
"835","TAG(46:4_FA18:2)","TG(46:4_FA18:2)"
"836","TAG(47:0_FA14:0)","TG(47:0_FA14:0)"
"837","TAG(47:0_FA16:0)","TG(47:0_FA16:0)"
"838","TAG(47:0_FA17:0)","TG(47:0_FA17:0)"
"839","TAG(47:1_FA14:0)","TG(47:1_FA14:0)"
"840","TAG(47:1_FA16:0)","TG(47:1_FA16:0)"
"841","TAG(47:1_FA16:1)","TG(47:1_FA16:1)"
"842","TAG(47:1_FA17:0)","TG(47:1_FA17:0)"
"843","TAG(47:1_FA18:1)","TG(47:1_FA18:1)"
"844","TAG(47:2_FA14:0)","TG(47:2_FA14:0)"
"845","TAG(47:2_FA16:1)","TG(47:2_FA16:1)"
"846","TAG(47:2_FA18:1)","TG(47:2_FA18:1)"
"847","TAG(47:2_FA18:2)","TG(47:2_FA18:2)"
"848","TAG(48:0_FA14:0)","TG(48:0_FA14:0)"
"849","TAG(48:0_FA16:0)","TG(48:0_FA16:0)"
"850","TAG(48:0_FA18:0)","TG(48:0_FA18:0)"
"851","TAG(48:1_FA14:0)","TG(48:1_FA14:0)"
"852","TAG(48:1_FA16:0)","TG(48:1_FA16:0)"
"853","TAG(48:1_FA16:1)","TG(48:1_FA16:1)"
"854","TAG(48:1_FA18:0)","TG(48:1_FA18:0)"
"855","TAG(48:1_FA18:1)","TG(48:1_FA18:1)"
"856","TAG(48:2_FA14:0)","TG(48:2_FA14:0)"
"857","TAG(48:2_FA16:0)","TG(48:2_FA16:0)"
"858","TAG(48:2_FA16:1)","TG(48:2_FA16:1)"
"859","TAG(48:2_FA18:0)","TG(48:2_FA18:0)"
"860","TAG(48:2_FA18:1)","TG(48:2_FA18:1)"
"861","TAG(48:2_FA18:2)","TG(48:2_FA18:2)"
"862","TAG(48:3_FA14:0)","TG(48:3_FA14:0)"
"863","TAG(48:3_FA16:0)","TG(48:3_FA16:0)"
"864","TAG(48:3_FA16:1)","TG(48:3_FA16:1)"
"865","TAG(48:3_FA18:1)","TG(48:3_FA18:1)"
"866","TAG(48:3_FA18:2)","TG(48:3_FA18:2)"
"867","TAG(48:3_FA18:3)","TG(48:3_FA18:3)"
"868","TAG(48:4_FA14:0)","TG(48:4_FA14:0)"
"869","TAG(48:4_FA16:0)","TG(48:4_FA16:0)"
"870","TAG(48:4_FA16:1)","TG(48:4_FA16:1)"
"871","TAG(48:4_FA18:1)","TG(48:4_FA18:1)"
"872","TAG(48:4_FA18:2)","TG(48:4_FA18:2)"
"873","TAG(48:4_FA18:3)","TG(48:4_FA18:3)"
"874","TAG(48:4_FA20:4)","TG(48:4_FA20:4)"
"875","TAG(48:5_FA18:2)","TG(48:5_FA18:2)"
"876","TAG(48:5_FA18:3)","TG(48:5_FA18:3)"
"877","TAG(49:0_FA16:0)","TG(49:0_FA16:0)"
"878","TAG(49:0_FA17:0)","TG(49:0_FA17:0)"
"879","TAG(49:0_FA18:0)","TG(49:0_FA18:0)"
"880","TAG(49:1_FA14:0)","TG(49:1_FA14:0)"
"881","TAG(49:1_FA16:0)","TG(49:1_FA16:0)"
"882","TAG(49:1_FA16:1)","TG(49:1_FA16:1)"
"883","TAG(49:1_FA17:0)","TG(49:1_FA17:0)"
"884","TAG(49:1_FA18:1)","TG(49:1_FA18:1)"
"885","TAG(49:2_FA14:0)","TG(49:2_FA14:0)"
"886","TAG(49:2_FA16:0)","TG(49:2_FA16:0)"
"887","TAG(49:2_FA16:1)","TG(49:2_FA16:1)"
"888","TAG(49:2_FA17:0)","TG(49:2_FA17:0)"
"889","TAG(49:2_FA18:1)","TG(49:2_FA18:1)"
"890","TAG(49:2_FA18:2)","TG(49:2_FA18:2)"
"891","TAG(49:3_FA16:0)","TG(49:3_FA16:0)"
"892","TAG(49:3_FA16:1)","TG(49:3_FA16:1)"
"893","TAG(49:3_FA18:2)","TG(49:3_FA18:2)"
"894","TAG(49:3_FA18:3)","TG(49:3_FA18:3)"
"895","TAG(50:0_FA14:0)","TG(50:0_FA14:0)"
"896","TAG(50:0_FA16:0)","TG(50:0_FA16:0)"
"897","TAG(50:0_FA18:0)","TG(50:0_FA18:0)"
"898","TAG(50:1_FA14:0)","TG(50:1_FA14:0)"
"899","TAG(50:1_FA16:0)","TG(50:1_FA16:0)"
"900","TAG(50:1_FA16:1)","TG(50:1_FA16:1)"
"901","TAG(50:1_FA18:0)","TG(50:1_FA18:0)"
"902","TAG(50:1_FA18:1)","TG(50:1_FA18:1)"
"903","TAG(50:1_FA20:1)","TG(50:1_FA20:1)"
"904","TAG(50:2_FA14:0)","TG(50:2_FA14:0)"
"905","TAG(50:2_FA16:0)","TG(50:2_FA16:0)"
"906","TAG(50:2_FA16:1)","TG(50:2_FA16:1)"
"907","TAG(50:2_FA18:0)","TG(50:2_FA18:0)"
"908","TAG(50:2_FA18:1)","TG(50:2_FA18:1)"
"909","TAG(50:2_FA18:2)","TG(50:2_FA18:2)"
"910","TAG(50:2_FA20:2)","TG(50:2_FA20:2)"
"911","TAG(50:3_FA14:0)","TG(50:3_FA14:0)"
"912","TAG(50:3_FA16:0)","TG(50:3_FA16:0)"
"913","TAG(50:3_FA16:1)","TG(50:3_FA16:1)"
"914","TAG(50:3_FA18:0)","TG(50:3_FA18:0)"
"915","TAG(50:3_FA18:1)","TG(50:3_FA18:1)"
"916","TAG(50:3_FA18:2)","TG(50:3_FA18:2)"
"917","TAG(50:3_FA18:3)","TG(50:3_FA18:3)"
"918","TAG(50:3_FA20:3)","TG(50:3_FA20:3)"
"919","TAG(50:4_FA14:0)","TG(50:4_FA14:0)"
"920","TAG(50:4_FA16:0)","TG(50:4_FA16:0)"
"921","TAG(50:4_FA16:1)","TG(50:4_FA16:1)"
"922","TAG(50:4_FA18:1)","TG(50:4_FA18:1)"
"923","TAG(50:4_FA18:2)","TG(50:4_FA18:2)"
"924","TAG(50:4_FA18:3)","TG(50:4_FA18:3)"
"925","TAG(50:4_FA20:3)","TG(50:4_FA20:3)"
"926","TAG(50:4_FA20:4)","TG(50:4_FA20:4)"
"927","TAG(50:5_FA14:0)","TG(50:5_FA14:0)"
"928","TAG(50:5_FA16:0)","TG(50:5_FA16:0)"
"929","TAG(50:5_FA16:1)","TG(50:5_FA16:1)"
"930","TAG(50:5_FA18:1)","TG(50:5_FA18:1)"
"931","TAG(50:5_FA18:2)","TG(50:5_FA18:2)"
"932","TAG(50:5_FA18:3)","TG(50:5_FA18:3)"
"933","TAG(50:5_FA20:4)","TG(50:5_FA20:4)"
"934","TAG(50:5_FA20:5)","TG(50:5_FA20:5)"
"935","TAG(50:6_FA20:4)","TG(50:6_FA20:4)"
"936","TAG(51:0_FA16:0)","TG(51:0_FA16:0)"
"937","TAG(51:0_FA17:0)","TG(51:0_FA17:0)"
"938","TAG(51:0_FA18:0)","TG(51:0_FA18:0)"
"939","TAG(51:1_FA16:0)","TG(51:1_FA16:0)"
"940","TAG(51:1_FA17:0)","TG(51:1_FA17:0)"
"941","TAG(51:1_FA18:0)","TG(51:1_FA18:0)"
